Index	Time	I(V1)	I(VPr1)	V(Vmr)	V(_net0)	I(MR1)	
77	0.3861390	2.549723013664401E-4	-2.549723013664401E-4	-0.3824584520342694	-0.3824584520342694	-2.549723013664401E-4	
78	0.3910895	1.7702343705229434E-4	-1.7702343705229434E-4	-0.26553515557844154	-0.26553515557844154	-1.7702343705229434E-4	
79	0.3960400	8.208493689570888E-5	-8.208493689570888E-5	-0.12312739465132122	-0.12312739465132122	-8.208493689570888E-5	
80	0.4009905	-2.073205709769303E-5	2.073205709769303E-5	0.031097391812772785	0.031097391812772785	2.073205709769303E-5	
81	0.4059410	-1.2265787033415387E-4	1.2265787033415387E-4	0.18233763796213165	0.18233763796213165	1.2265787033415387E-4	
82	0.4108915	-6.321564322872046E-4	6.321564322872046E-4	0.31607821614360226	0.31607821614360226	6.321564322872046E-4	
83	0.4158420	-8.389670194190141E-4	8.389670194190141E-4	0.4194835114058893	0.4194835114058893	8.389670194190141E-4	
84	0.4207925	-9.652586129845715E-4	9.652586129845715E-4	0.48262930649228575	0.48262930649228575	9.652586129845715E-4	
85	0.4257430	-9.989104968395187E-4	9.989104968395187E-4	0.4994552484228411	0.4994552484228411	9.989104968395187E-4	
86	0.4306935	-9.366929693235484E-4	9.366929693235484E-4	0.4683464846617742	0.4683464846617742	9.366929693235484E-4	
87	0.4356440	-7.845772938613625E-4	7.845772938613625E-4	0.39228864693490145	0.39228864693490145	7.845772938613625E-4	
88	0.4405945	-5.571626165680694E-4	5.571626165680694E-4	0.2785813082840347	0.2785813082840347	5.571626165680694E-4	
89	0.4455450	-2.762748232361671E-4	2.762748232361671E-4	0.13813741402392954	0.13813741402392954	2.762748232361671E-4	
90	0.4504955	3.112802500311984E-5	-3.112802500311984E-5	-0.015564077002145377	-0.015564077002145377	-3.112802500311984E-5	
91	0.4554460	3.3499111015457066E-4	-3.3499111015457066E-4	-0.1677718216859528	-0.1677718216859528	-3.3499111015457066E-4	
92	0.4603965	2.4006591340470203E-4	-2.4006591340470203E-4	-0.3038778376938476	-0.3038778376938476	-2.4006591340470203E-4	
93	0.4653470	2.7387965973529475E-4	-2.7387965973529475E-4	-0.4108194896029422	-0.4108194896029422	-2.7387965973529475E-4	
94	0.4702975	3.1888877473063135E-4	-3.1888877473063135E-4	-0.47833316195093717	-0.47833316195093717	-3.1888877473063135E-4	
95	0.4752480	3.3329286614221763E-4	-3.3329286614221763E-4	-0.49993929921332647	-0.49993929921332647	-3.3329286614221763E-4	
96	0.4801985	3.157095163399553E-4	-3.157095163399553E-4	-0.47356427450546756	-0.47356427450546756	-3.157095163399553E-4	
97	0.4851490	2.67826269198704E-4	-2.67826269198704E-4	-0.401739403798056	-0.401739403798056	-2.67826269198704E-4	
98	0.4900995	1.9423867039092626E-4	-1.9423867039092626E-4	-0.2913580054605964	-0.2913580054605964	-1.9423867039092626E-4	
99	0.4950500	1.020092158285128E-4	-1.020092158285128E-4	-0.15301382109425102	-0.15301382109425102	-1.020092158285128E-4	
End of JSpice Simulation
